,symbol,type,entry_time,exit_time,entry_price,exit_price,sl,tp,risk,reward,profit,close_reason
25,XAUUSD,SELL,1770912000.0,1770919200.0,5059.96,4964.520000000001,5083.82,4964.520000000001,23.859999999999673,95.43999999999869,95.43999999999869,TP
26,XAUUSD,BUY,1770957000.0,1770966000.0,4988.51,4972.21,4972.21,5053.710000000001,16.300000000000182,65.20000000000073,-16.300000000000182,SL
27,XAUUSD,BUY,1771009200.0,1771207200.0,5017.72,5005.99,5005.99,5064.640000000002,11.730000000000473,46.92000000000189,-11.730000000000473,SL
28,XAUUSD,SELL,1771219800.0,1771230600.0,4987.57,5000.04,5000.04,4937.689999999999,12.470000000000255,49.88000000000102,-12.470000000000255,SL
29,XAUUSD,BUY,1771239600.0,1771245000.0,5013.49,5003.63,5003.63,5052.9299999999985,9.859999999999673,39.43999999999869,-9.859999999999673,SL
30,XAUUSD,SELL,1771250400.0,1771295400.0,4996.35,4949.1900000000005,5008.14,4949.1900000000005,11.789999999999964,47.159999999999854,47.159999999999854,TP
31,XAUUSD,BUY,1771387200.0,1771432200.0,4901.07,4973.709999999999,4882.91,4973.709999999999,18.159999999999854,72.63999999999942,72.63999999999942,TP
32,XAUUSD,SELL,1771468200.0,1771473600.0,4961.35,4976.35,4976.35,4901.35,15.0,60.0,-15.0,SL
33,XAUUSD,BUY,1771480800.0,1771491600.0,4979.85,5020.650000000003,4969.65,5020.650000000003,10.200000000000728,40.80000000000291,40.80000000000291,TP
34,XAUUSD,SELL,1771507800.0,1771515000.0,4984.56,4996.42,4996.42,4937.120000000002,11.859999999999673,47.43999999999869,-11.859999999999673,SL
35,XAUUSD,SELL,1771529400.0,1771540200.0,4984.87,5001.76,5001.76,4917.309999999999,16.890000000000327,67.56000000000131,-16.890000000000327,SL
36,XAUUSD,BUY,1771538400.0,1771612200.0,4995.66,5064.619999999999,4978.42,5064.619999999999,17.23999999999978,68.95999999999913,68.95999999999913,TP
37,XAUUSD,SELL,1771911000.0,1771992000.0,5172.01,5191.92,5191.92,5092.370000000001,19.909999999999854,79.63999999999942,-19.909999999999854,SL
38,XAUUSD,BUY,1771993800.0,1772024400.0,5180.76,5166.64,5166.64,5237.24,14.11999999999989,56.47999999999956,-14.11999999999989,SL
39,XAUUSD,SELL,1772024400.0,1772028000.0,5168.75,5181.19,5181.19,5118.990000000002,12.4399999999996,49.7599999999984,-12.4399999999996,SL
40,XAUUSD,BUY,1772031600.0,1772035200.0,5188.05,5177.36,5177.36,5230.810000000002,10.69000000000051,42.76000000000204,-10.69000000000051,SL
41,XAUUSD,SELL,1772060400.0,1772073000.0,5168.96,5190.66,5190.66,5082.160000000001,21.699999999999818,86.79999999999927,-21.699999999999818,SL
42,XAUUSD,BUY,1772083800.0,1772096400.0,5192.66,5183.16,5183.16,5230.66,9.5,38.0,-9.5,SL
43,XAUUSD,SELL,1772100000.0,1772127000.0,5176.96,5190.85,5190.85,5121.399999999999,13.890000000000327,55.56000000000131,-13.890000000000327,SL
44,XAUUSD,BUY,1772139600.0,1772413200.0,5185.65,5284.609999999999,5160.91,5284.609999999999,24.73999999999978,98.95999999999913,98.95999999999913,TP
