time,open,high,low,close,tick_volume,spread,real_volume,ema_8,ema_33
1779460200,1.15939,1.16021,1.15933,1.15964,1410,0,0,1.1600290944096472,1.1606563610603167
1779462000,1.15964,1.1607,1.15944,1.15984,2772,0,0,1.1599870734297255,1.1606083398214744
1779463800,1.15984,1.16048,1.15977,1.16043,1295,1,0,1.1600855015564533,1.1605978492437405
1779465600,1.16041,1.16183,1.16038,1.1611,2573,0,0,1.1603109456550191,1.1606273875235205
1779467400,1.16111,1.16115,1.15993,1.16036,2434,0,0,1.1603218466205705,1.1606116588456663
1779469200,1.16036,1.16038,1.15881,1.15965,2802,0,0,1.1601725473715547,1.1605550906782742
1779471000,1.15965,1.16023,1.15947,1.15977,2251,0,0,1.160083092400098,1.1605089088736698
1779472800,1.15976,1.16055,1.15957,1.16026,1897,0,0,1.1601224052000763,1.1604942671752185
1779474600,1.16026,1.16044,1.15981,1.16027,1745,0,0,1.1601552040445036,1.1604810749884409
1779476400,1.16027,1.16092,1.15994,1.16092,1615,0,0,1.1603251587012806,1.160506894106768
1779478200,1.16092,1.16111,1.16054,1.16111,1146,1,0,1.1604995678787737,1.1605423709240168
1779480000,1.16111,1.16171,1.16086,1.16162,1820,0,0,1.160748552794602,1.1606057608696627
1779481800,1.16163,1.16191,1.16106,1.16133,1797,0,0,1.1608777632846905,1.1606483631714473
1779483600,1.16133,1.16149,1.16093,1.16104,1092,0,0,1.1609138158880927,1.1606714006319505
1779485400,1.16104,1.16151,1.16093,1.16117,799,0,0,1.1609707456907388,1.1607007300065417
1779487200,1.16117,1.16138,1.1608,1.16082,1091,0,0,1.1609372466483525,1.1607077458885098
1779489000,1.16082,1.16088,1.16051,1.16059,800,0,0,1.1608600807264964,1.160700819659774
1779490800,1.16058,1.16065,1.16033,1.16037,412,0,0,1.1607511738983862,1.1606813596797871
1779492600,1.16037,1.16038,1.15978,1.16032,732,0,0,1.1606553574765226,1.1606601032280348
1779667200,1.16373,1.16405,1.16355,1.16378,399,0,0,1.1613497224817397,1.1608436265675623
1779669000,1.16373,1.16374,1.16302,1.1633,348,6,0,1.1617831174857975,1.1609881191224116
1779670800,1.1633,1.16417,1.16309,1.16406,822,0,0,1.1622890913778425,1.1611688179975639
1779672600,1.16406,1.16447,1.16403,1.1643,554,2,0,1.1627359599605442,1.1613530051741778
1779674400,1.1643,1.16459,1.1643,1.1645,426,2,0,1.163127968858201,1.1615381225168733
1779676200,1.1645,1.16454,1.16412,1.16416,600,1,0,1.1633573091119342,1.1616923506041161
1779678000,1.16417,1.16424,1.16379,1.16418,1073,0,0,1.1635401293092822,1.161838682921521
1779679800,1.16418,1.16489,1.16352,1.16366,1238,0,0,1.1635667672405527,1.1619458192202552
1779681600,1.16366,1.1647,1.16354,1.16461,1443,0,0,1.163798596742652,1.1621025357367107
1779683400,1.16461,1.16461,1.16383,1.1639,991,1,0,1.1638211307998405,1.1622082689286688
1779685200,1.16391,1.16425,1.16389,1.16416,683,2,0,1.1638964350665426,1.1623230766387471
1779687000,1.16416,1.16418,1.16366,1.16375,494,2,0,1.1638638939406443,1.162407013307056
1779688800,1.16375,1.16395,1.1636,1.16372,783,2,0,1.16383191750939,1.1624842478184056
1779690600,1.16373,1.16397,1.16359,1.16372,641,2,0,1.1638070469517479,1.1625569391232053
1779692400,1.16372,1.16377,1.16355,1.16369,521,2,0,1.1637810365180261,1.1626235897630168
1779694200,1.16369,1.16437,1.16369,1.1642,550,0,0,1.1638741395140202,1.162716319776957
1779696000,1.1642,1.16452,1.1641,1.16432,653,2,0,1.1639732196220158,1.1628106539077243
1779697800,1.16432,1.16447,1.16379,1.16391,606,2,0,1.1639591708171233,1.162875321324917
1779699600,1.1639,1.16412,1.16376,1.16388,883,2,0,1.163941577302207,1.1629344200705103
1779701400,1.16388,1.16447,1.16374,1.16408,894,1,0,1.1639723379017166,1.163001807125186
1779703200,1.1641,1.16419,1.16295,1.16337,1588,0,0,1.1638384850346686,1.1630234655295868
1779705000,1.16338,1.16381,1.16334,1.16374,1042,0,0,1.163816599471409,1.1630656146160816
1779706800,1.16374,1.16407,1.1633,1.16403,848,0,0,1.1638640218110958,1.1631223431680766
1779708600,1.16403,1.16442,1.16401,1.16437,944,2,0,1.16397646140863,1.163195734746425
1779710400,1.16436,1.16452,1.16401,1.16422,551,0,0,1.164030581095601,1.1632559856436941
1779712200,1.16422,1.16447,1.16404,1.16415,449,2,0,1.164057118629912,1.1633085747234768
1779714000,1.16414,1.16442,1.16412,1.16418,607,2,0,1.1640844256010427,1.1633598350338605
1779715800,1.16418,1.16439,1.16413,1.16428,506,2,0,1.164127886578589,1.1634139623848099
1779717600,1.16428,1.16447,1.16403,1.16444,544,2,0,1.1641972451166802,1.1634743175386446
1779719400,1.16444,1.16506,1.16434,1.16438,1115,0,0,1.1642378573129735,1.1635275929775477
1779721200,1.16438,1.16468,1.16426,1.1644,867,0,0,1.1642738890212017,1.163578911037692
1779723000,1.1644,1.16527,1.1644,1.16481,970,0,0,1.164393024794268,1.1636513280354748
1779724800,1.16481,1.16497,1.16438,1.1644,817,0,0,1.1643945748399862,1.1636953675627997
1779726600,1.1644,1.16444,1.16387,1.16387,825,1,0,1.1642780026533226,1.1637056400591055
1779728400,1.16387,1.16429,1.16383,1.16412,672,0,0,1.1642428909525844,1.1637300141732758
1779730200,1.16412,1.16463,1.16401,1.16419,813,0,0,1.1642311374075658,1.1637570721630832
1779732000,1.1642,1.16485,1.16395,1.16455,1222,0,0,1.16430199576144,1.1638037149770195
1779733800,1.16455,1.16458,1.16419,1.1642,463,1,0,1.1642793300366756,1.1638270258607242
1779735600,1.16422,1.16426,1.16378,1.16382,568,0,0,1.1641772566951922,1.1638266125747991
1779737400,1.16382,1.16415,1.16366,1.1641,661,0,0,1.164160088540705,1.1638426941880462
1779739200,1.1641,1.16441,1.16402,1.16437,329,2,0,1.1642067355316594,1.1638737121769847
1779741000,1.16437,1.16439,1.16416,1.16432,280,2,0,1.1642319054135128,1.163899964401868
1779742800,1.16432,1.16438,1.1642,1.16424,303,2,0,1.16423370421051,1.1639199664958757
1779744600,1.16424,1.16438,1.16414,1.16434,156,2,0,1.1642573254970632,1.1639446743490596
1779746400,1.16434,1.16435,1.1642,1.16429,154,2,0,1.164264586497716,1.1639649876226443
1779748200,1.1643,1.16436,1.16417,1.1642,231,2,0,1.164250233942668,1.1639788118801357
1779750000,1.16419,1.16432,1.16418,1.1643,197,3,0,1.1642612930665195,1.1639977052989512
1779751800,1.1643,1.16434,1.16413,1.16432,311,3,0,1.1642743390517374,1.1640166638107776
1779753600,1.16426,1.16427,1.16382,1.16403,530,16,0,1.1642200414846846,1.1640174482924965
1779755400,1.16403,1.16448,1.16359,1.16395,363,3,0,1.1641600322658658,1.164013480745879
1779757200,1.16395,1.16427,1.16384,1.16398,477,3,0,1.1641200250956736,1.164011511290239
1779759000,1.16398,1.16416,1.1639,1.16406,202,3,0,1.1641066861855238,1.1640143635672837
1779760800,1.16406,1.16431,1.16405,1.16408,281,3,0,1.1641007559220742,1.164018224533914
1779762600,1.16408,1.16408,1.16355,1.16357,440,1,0,1.1639828101616132,1.16399185838486
1779764400,1.16357,1.16397,1.16338,1.16355,1374,0,0,1.1638866301256992,1.1639658667151624
1779766200,1.16356,1.16394,1.16349,1.16386,864,0,0,1.1638807123199881,1.1639596392613294
1779768000,1.16386,1.16397,1.16349,1.16366,1014,2,0,1.1638316651377685,1.1639420134224276
1779769800,1.16366,1.16368,1.16302,1.16338,888,2,0,1.1637312951071532,1.1639089538093437
1779771600,1.16338,1.1635,1.16321,1.16329,570,2,0,1.1636332295277858,1.163872544761735
1779773400,1.16329,1.16344,1.16311,1.16338,495,2,0,1.163576956299389,1.1638435715404565
1779775200,1.16338,1.16372,1.16336,1.16345,424,2,0,1.1635487437884136,1.1638204202733708
1779777000,1.16345,1.1636,1.16341,1.16358,395,0,0,1.1635556896132107,1.163806277904349
1779778800,1.16357,1.16359,1.1633,1.16331,256,2,0,1.163501091921386,1.1637770850864462
1779780600,1.16331,1.16342,1.16292,1.16295,411,1,0,1.1633786270499669,1.1637284330225377
1779782400,1.16296,1.16302,1.16279,1.16295,518,1,0,1.1632833765944186,1.1636826428447413
1779784200,1.16295,1.16306,1.16274,1.16279,666,1,0,1.1631737373512145,1.1636301344421094
1779786000,1.16279,1.16355,1.16271,1.16327,1076,0,0,1.1631951290509446,1.1636089500631617
1779787800,1.16327,1.16374,1.16325,1.16351,1066,0,0,1.163265100372957,1.163603129471211
1779789600,1.16353,1.16363,1.1624,1.16339,1369,0,0,1.1632928558456332,1.1635905924434926
1779791400,1.16339,1.16403,1.16326,1.1637,1445,0,0,1.1633833323243814,1.1635970281821106
1779793200,1.1637,1.1642,1.1635,1.16392,1116,0,0,1.163502591807852,1.1636160265243394
1779795000,1.16392,1.16412,1.16342,1.16363,1035,0,0,1.1635309047394404,1.163616848493496
1779796800,1.16363,1.16422,1.16323,1.16417,1206,0,0,1.1636729259084535,1.1636493868174078
1779798600,1.16418,1.1644,1.16397,1.16426,860,0,0,1.163803386817686,1.1636853052399134
1779800400,1.16426,1.16436,1.16397,1.16428,825,0,0,1.1639093008582002,1.1637202872846244
1779802200,1.16428,1.16451,1.16376,1.16413,1317,0,0,1.1639583451119335,1.1637443880325875
1779804000,1.16415,1.16447,1.16397,1.164,904,0,0,1.1639676017537262,1.1637594240306706
1779805800,1.16401,1.1642,1.16334,1.16346,1234,0,0,1.1638548013640093,1.1637418108523958
1779807600,1.16346,1.1636,1.1631,1.16351,1273,0,0,1.1637781788386738,1.163728174919902
1779809400,1.16351,1.16366,1.16315,1.16319,1127,0,0,1.1636474724300796,1.1636965175716725
1779811200,1.16319,1.1633,1.16265,1.16267,1434,1,0,1.1634302563345065,1.1636361341851036
1779813000,1.16267,1.16312,1.16172,1.16255,2430,0,0,1.1632346438157273,1.163572243938921
1779814800,1.16256,1.16298,1.16212,1.16244,1834,1,0,1.1630580563011212,1.1635056413542786
1779816600,1.16241,1.16289,1.16227,1.16249,2048,0,0,1.1629318215675388,1.1634458977452034
1779818400,1.16249,1.16257,1.16174,1.16207,1882,0,0,1.1627403056636412,1.1633649625837208
1779820200,1.16207,1.16222,1.16162,1.16193,1743,0,0,1.1625602377383875,1.1632805530199726
1779822000,1.16193,1.16288,1.16193,1.16271,981,1,0,1.1625935182409681,1.163246991077621
1779823800,1.16271,1.16295,1.16224,1.16238,942,0,0,1.1625460697429753,1.1631959916024668
1779825600,1.16238,1.16276,1.16228,1.16239,876,0,0,1.1625113875778696,1.1631485803317334
1779827400,1.16239,1.1626,1.16213,1.16239,692,0,0,1.1624844125605653,1.1631039579592786
1779829200,1.1624,1.16273,1.16233,1.16269,581,1,0,1.1625300986582174,1.1630796074910859
1779831000,1.16269,1.16309,1.16263,1.16294,627,1,0,1.1626211878452803,1.1630713952857277
1779832800,1.16294,1.16304,1.16273,1.16293,645,1,0,1.1626898127685514,1.163063077915979
1779834600,1.16293,1.16325,1.16293,1.16319,570,0,0,1.1628009654866511,1.1630705439209212
1779836400,1.16319,1.16327,1.16302,1.16302,324,2,0,1.1628496398229509,1.1630675707491025
1779838200,1.16302,1.16319,1.16302,1.16319,353,3,0,1.1629252754178507,1.1630747724697434
1779840000,1.16275,1.16307,1.16235,1.16305,524,3,0,1.1629529919916617,1.163073315265641
1779841800,1.16305,1.16313,1.1629,1.1631,1283,8,0,1.1629856604379591,1.1630748849558974
1779843600,1.1631,1.1633,1.16306,1.16322,463,0,0,1.1630377358961905,1.163083421134962
1779845400,1.16322,1.16332,1.16317,1.16331,161,3,0,1.1630982390303704,1.1630967493034938
1779847200,1.16331,1.16368,1.16329,1.16367,176,2,0,1.1632252970236214,1.1631304699327
1779849000,1.16367,1.16396,1.1636,1.16363,247,3,0,1.1633152310183723,1.163159854054306
1779850800,1.16363,1.16403,1.16359,1.16392,782,1,0,1.1634496241254006,1.1632045685216996
