time,open,high,low,close,tick_volume,spread,real_volume
1780882200,1.15134,1.15165,1.15099,1.1513,883,0,0
1780884000,1.1513,1.15201,1.1513,1.15181,751,0,0
1780885800,1.15181,1.15227,1.15174,1.15218,598,2,0
1780887600,1.15218,1.15246,1.15208,1.15225,881,0,0
1780889400,1.15226,1.15335,1.15224,1.15328,1366,0,0
1780891200,1.1533,1.15347,1.15176,1.15194,2795,0,0
1780893000,1.15194,1.1527,1.15114,1.1526399999999999,2825,0,0
1780894800,1.1526399999999999,1.153,1.152,1.1529,1621,0,0
1780896600,1.1529,1.1531500000000001,1.15259,1.15285,1437,0,0
1780898400,1.15285,1.1529099999999999,1.15255,1.15271,982,2,0
1780900200,1.15271,1.15324,1.15271,1.15323,996,2,0
1780902000,1.15322,1.15334,1.15289,1.15333,775,2,0
1780903800,1.15333,1.15339,1.1529099999999999,1.15304,1007,0,0
1780905600,1.15304,1.15398,1.15304,1.15343,1647,1,0
1780907400,1.15343,1.15347,1.15171,1.15192,2397,0,0
1780909200,1.15192,1.15249,1.15154,1.15235,2709,0,0
1780911000,1.15235,1.15235,1.15121,1.15152,2181,0,0
1780912800,1.15152,1.15268,1.15133,1.15233,2907,0,0
1780914600,1.15233,1.1526399999999999,1.15156,1.15165,2382,0,0
1780916400,1.15165,1.15233,1.15136,1.15199,2472,0,0
1780918200,1.15199,1.15209,1.1507100000000001,1.15082,2518,0,0
1780920000,1.15082,1.15112,1.15008,1.15017,2405,0,0
1780921800,1.1502,1.15144,1.14991,1.15125,2871,0,0
1780923600,1.15125,1.15202,1.15093,1.15174,2279,0,0
1780925400,1.15174,1.15318,1.1515,1.15244,2664,0,0
1780927200,1.15244,1.15421,1.15227,1.15404,3874,0,0
1780929000,1.15404,1.15438,1.15327,1.15364,2988,0,0
1780930800,1.15364,1.15434,1.15358,1.15391,3159,0,0
1780932600,1.15391,1.15436,1.15346,1.1542,2670,0,0
1780934400,1.1542,1.15547,1.15404,1.15494,3543,0,0
1780936200,1.15494,1.15524,1.1541299999999999,1.1541299999999999,4297,0,0
1780938000,1.1541299999999999,1.15445,1.15309,1.15364,3272,0,0
1780939800,1.15364,1.15427,1.15318,1.15424,3295,0,0
1780941600,1.15424,1.15478,1.15392,1.15393,2928,0,0
1780943400,1.15393,1.15469,1.15356,1.15441,2404,0,0
1780945200,1.15441,1.1546,1.15407,1.1541,1764,0,0
1780947000,1.1541,1.15436,1.15382,1.15388,1523,0,0
1780948800,1.15388,1.15415,1.15372,1.15394,2025,0,0
1780950600,1.15394,1.15407,1.15351,1.15379,1517,0,0
1780952400,1.15379,1.1542,1.15379,1.15406,1169,2,0
1780954200,1.15406,1.15417,1.15276,1.15283,1681,1,0
1780956000,1.15283,1.15336,1.1528100000000001,1.1532,1446,2,0
1780957800,1.1532,1.1534200000000001,1.15288,1.15307,1834,1,0
1780959600,1.15306,1.15335,1.15296,1.1532499999999999,646,0,0
1780961400,1.15326,1.15327,1.15308,1.15322,483,3,0
1780963200,1.1534,1.15397,1.15321,1.15337,374,8,0
1780965000,1.15337,1.15381,1.15337,1.15366,319,3,0
1780966800,1.15366,1.15366,1.15319,1.15331,544,3,0
1780968600,1.15329,1.15339,1.15321,1.15334,308,3,0
1780970400,1.15334,1.1534,1.15298,1.15307,336,3,0
1780972200,1.15307,1.1531,1.15274,1.15278,580,2,0
1780974000,1.15278,1.15301,1.15257,1.15288,1487,2,0
1780975800,1.15288,1.15316,1.15266,1.15313,1150,2,0
1780977600,1.15313,1.15366,1.15304,1.15355,1395,2,0
1780979400,1.15355,1.15396,1.15346,1.15396,1388,2,0
1780981200,1.15396,1.1540300000000001,1.15356,1.15389,1099,2,0
1780983000,1.15389,1.15396,1.15368,1.15375,924,2,0
1780984800,1.15375,1.15399,1.15336,1.15366,880,1,0
1780986600,1.15366,1.15381,1.15347,1.15371,835,1,0
1780988400,1.15379,1.15418,1.15361,1.15417,873,2,0
1780990200,1.15417,1.15481,1.15394,1.15454,1113,1,0
1780992000,1.15453,1.15459,1.15389,1.15417,1299,0,0
1780993800,1.15417,1.15475,1.15412,1.1544699999999999,2111,0,0
1780995600,1.1544699999999999,1.15534,1.15425,1.15497,2132,0,0
1780997400,1.15497,1.15497,1.15428,1.15436,2107,1,0
1780999200,1.15436,1.15468,1.1537,1.15397,2155,0,0
1781001000,1.15397,1.15438,1.15378,1.15392,1735,0,0
1781002800,1.15392,1.15454,1.15357,1.15444,2136,1,0
1781004600,1.15444,1.15526,1.15438,1.15506,1766,1,0
1781006400,1.15506,1.15595,1.15502,1.15557,1674,0,0
1781008200,1.15557,1.15637,1.1555,1.15613,1557,0,0
1781010000,1.15613,1.1566,1.1559599999999999,1.15652,1616,0,0
1781011800,1.15652,1.1569099999999999,1.15636,1.15653,1096,0,0
1781013600,1.15653,1.15726,1.15645,1.15723,1362,1,0
1781015400,1.15723,1.15741,1.15665,1.15726,1613,0,0
1781017200,1.15725,1.15749,1.15688,1.15692,1811,2,0
1781019000,1.15693,1.15748,1.15685,1.15735,1598,2,0
1781020800,1.15735,1.15779,1.15706,1.15721,2118,0,0
1781022600,1.15722,1.15764,1.15626,1.15663,3612,0,0
1781024400,1.15663,1.15733,1.1558,1.15629,3954,0,0
1781026200,1.15629,1.15692,1.15605,1.15622,3840,0,0
1781028000,1.15622,1.15673,1.1557,1.15582,3365,0,0
1781029800,1.15582,1.15599,1.15449,1.1555,4018,0,0
1781031600,1.1555,1.15574,1.154,1.15459,3939,0,0
1781033400,1.15458,1.1547399999999999,1.15277,1.15408,5244,0,0
1781035200,1.15408,1.1553,1.15394,1.15506,4020,0,0
1781037000,1.15506,1.15525,1.15454,1.1548,2727,0,0
1781038800,1.1548,1.1553,1.15449,1.15514,2708,0,0
1781040600,1.15514,1.15529,1.15475,1.15497,2177,0,0
1781042400,1.15497,1.15502,1.15419,1.15429,1720,1,0
1781044200,1.15429,1.15439,1.15391,1.15414,2106,1,0
1781046000,1.1541299999999999,1.15453,1.15394,1.15432,862,3,0
1781047800,1.15432,1.15443,1.15425,1.15425,413,3,0
1781049600,1.15419,1.15444,1.15396,1.15398,235,6,0
1781051400,1.15398,1.154,1.15351,1.15381,396,3,0
1781053200,1.15381,1.15401,1.15361,1.15401,525,3,0
1781055000,1.15401,1.1540300000000001,1.15351,1.15361,627,3,0
1781056800,1.15361,1.15389,1.15341,1.15347,472,1,0
1781058600,1.15347,1.15369,1.15329,1.15349,748,2,0
1781060400,1.15349,1.1542,1.15335,1.15414,1669,1,0
1781062200,1.15414,1.15435,1.15324,1.15422,1891,0,0
1781064000,1.15422,1.15428,1.15378,1.15393,1703,0,0
1781065800,1.15394,1.15404,1.15346,1.15377,1989,1,0
1781067600,1.15377,1.15429,1.15367,1.15427,1201,1,0
1781069400,1.15427,1.15449,1.1541,1.15425,1166,1,0
1781071200,1.15425,1.15497,1.15421,1.15466,1114,0,0
1781073000,1.15466,1.15521,1.15442,1.15503,1111,2,0
1781074800,1.15503,1.15505,1.15461,1.15485,1175,2,0
1781076600,1.15485,1.15487,1.15435,1.15463,1028,0,0
1781078400,1.15463,1.1549800000000001,1.1544699999999999,1.15494,1336,1,0
1781080200,1.15494,1.15555,1.15489,1.1553499999999999,1718,1,0
1781082000,1.15538,1.15582,1.15517,1.15556,2111,0,0
1781083800,1.15556,1.15564,1.15482,1.15487,1803,0,0
1781085600,1.15486,1.15586,1.15454,1.1553499999999999,1976,0,0
1781087400,1.1553499999999999,1.15552,1.15517,1.15536,1600,1,0
1781089200,1.15536,1.1554,1.1548,1.15531,2196,0,0
1781091000,1.15531,1.1553499999999999,1.15482,1.1553499999999999,1639,1,0
1781092800,1.1553499999999999,1.15567,1.15501,1.15526,1656,0,0
1781094600,1.15526,1.1559599999999999,1.15522,1.15578,1936,0,0
1781096400,1.15578,1.15592,1.15542,1.1555900000000001,1487,0,0
1781098200,1.1555900000000001,1.15571,1.15494,1.15519,1692,0,0
1781100000,1.15521,1.15524,1.1535199999999999,1.15432,4470,0,0
1781101800,1.15432,1.1544699999999999,1.15343,1.15365,2606,0,0
1781103600,1.15365,1.15466,1.1535199999999999,1.15463,2739,0,0
1781105400,1.15463,1.15646,1.15421,1.15483,5123,0,0
1781107200,1.15483,1.1559599999999999,1.15468,1.15572,3462,0,0
1781109000,1.15572,1.1573,1.1555900000000001,1.15624,4342,0,0
1781110800,1.15625,1.1567,1.15546,1.1557,4622,0,0
1781112600,1.1557,1.15594,1.15497,1.15521,3928,0,0
1781114400,1.15521,1.15566,1.15462,1.15545,3888,0,0
1781116200,1.15546,1.15567,1.15345,1.15492,4594,0,0
1781118000,1.15492,1.15588,1.15482,1.1557,2960,0,0
1781119800,1.1557,1.1559300000000001,1.15517,1.15536,1772,1,0
1781121600,1.15536,1.15565,1.15476,1.15495,1894,1,0
