,time,open,high,low,close,tick_volume,spread,real_volume
2915,1779302700,1.16269,1.16289,1.16167,1.16191,1759,0,0
2916,1779303600,1.16191,1.16305,1.16183,1.16285,1552,1,0
2917,1779304500,1.16285,1.16308,1.16206,1.16237,1511,0,0
2918,1779305400,1.16237,1.16275,1.16189,1.16275,1245,0,0
2919,1779306300,1.16275,1.16302,1.16226,1.16255,1578,0,0
2920,1779307200,1.16255,1.1626400000000001,1.16177,1.16238,1566,0,0
2921,1779308100,1.16239,1.16258,1.16211,1.16245,1173,0,0
2922,1779309000,1.16245,1.16269,1.16195,1.16199,1289,0,0
2923,1779309900,1.16199,1.16229,1.16182,1.16182,844,1,0
2924,1779310800,1.16182,1.16239,1.16159,1.16237,1026,0,0
2925,1779311700,1.16237,1.16278,1.16231,1.16277,1152,0,0
2926,1779312600,1.16278,1.16328,1.16267,1.16267,905,0,0
2927,1779313500,1.16267,1.16356,1.16266,1.16308,1102,1,0
2928,1779314400,1.16308,1.1634,1.16294,1.16296,652,1,0
2929,1779315300,1.16296,1.16328,1.16289,1.16326,538,2,0
2930,1779316200,1.16326,1.16353,1.16294,1.16306,643,0,0
2931,1779317100,1.16306,1.16324,1.16271,1.16278,839,2,0
2932,1779318000,1.16277,1.16282,1.16259,1.16279,437,3,0
2933,1779318900,1.16279,1.16283,1.16251,1.16269,588,2,0
2934,1779319800,1.1627,1.16273,1.16237,1.16239,374,3,0
2935,1779320700,1.16239,1.16263,1.1623,1.1625,492,3,0
2936,1779321600,1.16221,1.1626,1.16159,1.16246,407,11,0
2937,1779322500,1.16246,1.1626,1.16217,1.16232,250,22,0
2938,1779323400,1.16232,1.16265,1.16232,1.16243,189,14,0
2939,1779324300,1.16243,1.1626400000000001,1.16237,1.16242,184,6,0
2940,1779325200,1.16242,1.16278,1.16233,1.16277,229,3,0
2941,1779326100,1.16277,1.16278,1.16241,1.16262,199,3,0
2942,1779327000,1.16262,1.16268,1.16252,1.16267,172,3,0
2943,1779327900,1.16267,1.16268,1.16249,1.16262,217,3,0
2944,1779328800,1.16262,1.1627399999999999,1.1625,1.16261,200,3,0
2945,1779329700,1.16261,1.1626400000000001,1.16229,1.16239,158,3,0
2946,1779330600,1.16239,1.16244,1.16216,1.1623,215,2,0
2947,1779331500,1.1623,1.16268,1.16229,1.16245,318,3,0
2948,1779332400,1.16245,1.1626400000000001,1.16224,1.16258,822,1,0
2949,1779333300,1.16258,1.16273,1.16222,1.16263,732,1,0
2950,1779334200,1.16263,1.16268,1.16236,1.1626400000000001,445,2,0
2951,1779335100,1.1626400000000001,1.16289,1.16256,1.16284,583,2,0
2952,1779336000,1.16284,1.16345,1.16276,1.16331,730,2,0
2953,1779336900,1.16331,1.16352,1.16313,1.16328,458,2,0
2954,1779337800,1.16328,1.16343,1.16294,1.16311,813,0,0
2955,1779338700,1.16311,1.16315,1.16223,1.16255,901,2,0
2956,1779339600,1.16255,1.16284,1.16242,1.16248,624,2,0
2957,1779340500,1.16248,1.16255,1.16197,1.16211,547,2,0
2958,1779341400,1.16212,1.16223,1.16176,1.16199,715,1,0
2959,1779342300,1.16198,1.16201,1.16155,1.16175,627,2,0
2960,1779343200,1.16175,1.16207,1.1617,1.16189,397,2,0
2961,1779344100,1.16189,1.16226,1.16182,1.1620300000000001,401,2,0
2962,1779345000,1.1620300000000001,1.16215,1.16174,1.16204,466,2,0
2963,1779345900,1.1621,1.16215,1.16175,1.16184,354,2,0
2964,1779346800,1.16189,1.1621,1.16176,1.1620300000000001,322,2,0
2965,1779347700,1.16204,1.16216,1.16184,1.16211,311,2,0
2966,1779348600,1.16211,1.16214,1.16194,1.16214,266,2,0
2967,1779349500,1.16214,1.16235,1.16202,1.1622,473,2,0
2968,1779350400,1.1622,1.16234,1.16204,1.16216,382,2,0
2969,1779351300,1.16216,1.16219,1.16177,1.16189,470,2,0
2970,1779352200,1.16189,1.16215,1.16185,1.16202,617,1,0
2971,1779353100,1.16202,1.16222,1.16175,1.16217,875,0,0
2972,1779354000,1.16218,1.16265,1.16201,1.16251,744,1,0
2973,1779354900,1.16251,1.16265,1.16195,1.16249,964,0,0
2974,1779355800,1.16249,1.16257,1.1615199999999999,1.16168,912,1,0
2975,1779356700,1.16168,1.1620300000000001,1.16154,1.16202,1268,0,0
2976,1779357600,1.16202,1.16209,1.1616,1.1618,1145,1,0
2977,1779358500,1.16178,1.16178,1.15928,1.15973,2750,0,0
2978,1779359400,1.15973,1.1604,1.1597,1.16028,1914,0,0
2979,1779360300,1.16028,1.16089,1.16028,1.16074,1073,0,0
2980,1779361200,1.16074,1.16261,1.1606,1.16259,1735,0,0
2981,1779362100,1.16259,1.16354,1.16233,1.16337,2249,0,0
2982,1779363000,1.16338,1.16338,1.16223,1.16224,1596,0,0
2983,1779363900,1.16224,1.16287,1.16211,1.16235,1562,0,0
2984,1779364800,1.16236,1.16288,1.16199,1.16279,1374,0,0
2985,1779365700,1.16279,1.16319,1.16268,1.16317,1301,1,0
2986,1779366600,1.16317,1.16334,1.16262,1.16272,917,0,0
2987,1779367500,1.16272,1.16296,1.1625,1.16273,997,2,0
2988,1779368400,1.16273,1.16302,1.16235,1.16243,862,1,0
2989,1779369300,1.16242,1.16251,1.16085,1.16133,1713,0,0
2990,1779370200,1.16133,1.16136,1.15995,1.16063,2143,0,0
2991,1779371100,1.16063,1.16107,1.16028,1.16072,1662,0,0
2992,1779372000,1.16072,1.16123,1.16061,1.16089,1112,0,0
2993,1779372900,1.16089,1.1616,1.16079,1.16129,1471,0,0
2994,1779373800,1.16129,1.16144,1.16067,1.16074,810,1,0
2995,1779374700,1.16074,1.16077,1.15953,1.15988,1021,0,0
2996,1779375600,1.15989,1.16033,1.15949,1.15974,1225,2,0
2997,1779376500,1.15974,1.15985,1.15928,1.15946,1209,2,0
2998,1779377400,1.15946,1.16064,1.15941,1.16064,1973,0,0
2999,1779378300,1.16064,1.1609,1.15962,1.15972,1387,0,0
3000,1779379200,1.15972,1.16,1.15929,1.15954,1170,1,0
3001,1779380100,1.15954,1.15957,1.15873,1.15893,1098,1,0
3002,1779381000,1.15895,1.15901,1.15763,1.15782,1595,0,0
3003,1779381900,1.15782,1.1601,1.15779,1.15946,2209,0,0
3004,1779382800,1.15946,1.15956,1.15881,1.15927,1679,0,0
3005,1779383700,1.15926,1.15938,1.15842,1.15887,1689,0,0
3006,1779384600,1.15887,1.15946,1.15859,1.15902,1415,0,0
3007,1779385500,1.15903,1.15965,1.15897,1.15928,1424,1,0
3008,1779386400,1.15928,1.15938,1.15821,1.15878,1926,0,0
3009,1779387300,1.15878,1.15893,1.1585,1.15855,1201,0,0
3010,1779388200,1.15854,1.15884,1.15828,1.15832,1008,1,0
3011,1779389100,1.15831,1.15889,1.1583,1.15883,762,2,0
3012,1779390000,1.15884,1.15918,1.15844,1.15883,1073,0,0
3013,1779390900,1.15883,1.1593499999999999,1.15865,1.15932,808,1,0
3014,1779391800,1.15933,1.15957,1.15922,1.15952,578,0,0
3015,1779392700,1.15953,1.15963,1.15937,1.15952,711,2,0
3016,1779393600,1.15952,1.16024,1.15927,1.16018,1539,0,0
3017,1779394500,1.16019,1.1620300000000001,1.16018,1.16182,2723,0,0
3018,1779395400,1.16182,1.16244,1.16146,1.16233,1551,0,0
3019,1779396300,1.16233,1.16299,1.16196,1.16248,1369,0,0
3020,1779397200,1.16247,1.16299,1.16188,1.16225,1601,0,0
3021,1779398100,1.16226,1.16277,1.16205,1.16261,844,1,0
3022,1779399000,1.16262,1.16271,1.16236,1.16247,661,0,0
3023,1779399900,1.16247,1.16253,1.16071,1.16113,2238,0,0
3024,1779400800,1.16109,1.16163,1.16097,1.16147,1097,0,0
3025,1779401700,1.16148,1.16207,1.16147,1.16198,602,0,0
3026,1779402600,1.16198,1.1623999999999999,1.1618,1.16181,630,2,0
3027,1779403500,1.16181,1.16241,1.16141,1.16211,1000,0,0
3028,1779404400,1.1621,1.16226,1.16164,1.16173,468,3,0
3029,1779405300,1.16172,1.16196,1.16158,1.16183,204,3,0
3030,1779406200,1.16184,1.16185,1.16159,1.16173,197,3,0
3031,1779407100,1.16173,1.16188,1.16163,1.16173,256,3,0
3032,1779408000,1.16177,1.16224,1.1615,1.1621,332,4,0
3033,1779408900,1.1621,1.16218,1.16204,1.16206,119,13,0
3034,1779409800,1.16206,1.16209,1.16172,1.16177,261,5,0
3035,1779410700,1.16177,1.16195,1.16176,1.16186,242,0,0
3036,1779411600,1.16181,1.16214,1.1615,1.16163,162,0,0
3037,1779412500,1.16163,1.1617,1.16161,1.16166,100,3,0
3038,1779413400,1.16166,1.16187,1.16165,1.16183,88,3,0
3039,1779414300,1.16183,1.16189,1.16172,1.16172,94,3,0
3040,1779415200,1.16172,1.16184,1.16171,1.16176,87,3,0
3041,1779416100,1.16177,1.16178,1.16158,1.16171,107,3,0
3042,1779417000,1.1616900000000001,1.16173,1.16165,1.16168,92,3,0
3043,1779417900,1.16168,1.1619,1.16168,1.16177,171,3,0
3044,1779418800,1.16178,1.1618,1.16133,1.16137,523,1,0
3045,1779419700,1.16138,1.16149,1.16129,1.1614,408,2,0
3046,1779420600,1.1614,1.1615,1.16123,1.16148,277,1,0
3047,1779421500,1.16148,1.16161,1.16134,1.16144,364,2,0
3048,1779422400,1.16143,1.16153,1.16124,1.16144,416,2,0
3049,1779423300,1.16144,1.16157,1.16121,1.16139,354,2,0
3050,1779424200,1.16139,1.16149,1.16122,1.16139,444,2,0
3051,1779425100,1.16139,1.16156,1.16098,1.16099,365,2,0
3052,1779426000,1.16097,1.16117,1.16095,1.16107,288,2,0
3053,1779426900,1.16107,1.16119,1.16102,1.16113,252,2,0
3054,1779427800,1.16114,1.1614200000000001,1.16112,1.16134,214,2,0
3055,1779428700,1.16134,1.1614200000000001,1.16099,1.16117,291,2,0
3056,1779429600,1.16116,1.16129,1.16088,1.16092,255,2,0
3057,1779430500,1.16092,1.16109,1.16086,1.16102,247,2,0
3058,1779431400,1.16102,1.16115,1.16102,1.16115,290,2,0
3059,1779432300,1.16115,1.16122,1.16106,1.16119,224,2,0
3060,1779433200,1.1611799999999999,1.16143,1.16112,1.1614,235,2,0
3061,1779434100,1.1614,1.16149,1.16131,1.16135,194,2,0
3062,1779435000,1.16135,1.1614,1.16129,1.16134,119,2,0
3063,1779435900,1.16134,1.16154,1.16132,1.1615199999999999,157,2,0
3064,1779436800,1.16151,1.16167,1.16147,1.1615,248,2,0
3065,1779437700,1.1615,1.16156,1.1614200000000001,1.16145,209,2,0
3066,1779438600,1.16145,1.16155,1.16137,1.16147,246,2,0
3067,1779439500,1.16147,1.1616900000000001,1.16071,1.16092,561,2,0
3068,1779440400,1.16092,1.16145,1.16075,1.16124,706,0,0
3069,1779441300,1.16123,1.16129,1.16092,1.16122,703,1,0
3070,1779442200,1.16122,1.16124,1.16052,1.16095,667,2,0
3071,1779443100,1.16095,1.1610800000000001,1.1605699999999999,1.16098,615,0,0
3072,1779444000,1.16098,1.16098,1.16013,1.16019,703,0,0
3073,1779444900,1.16019,1.16085,1.16018,1.16084,468,1,0
3074,1779445800,1.16084,1.16084,1.16046,1.16064,679,0,0
3075,1779446700,1.16063,1.16094,1.16051,1.16083,477,1,0
3076,1779447600,1.16083,1.16104,1.16058,1.16061,500,2,0
3077,1779448500,1.16061,1.16157,1.16061,1.16112,1037,0,0
3078,1779449400,1.16112,1.16122,1.16032,1.16072,964,0,0
3079,1779450300,1.16072,1.16102,1.16059,1.16078,624,0,0
3080,1779451200,1.16077,1.16079,1.15992,1.15997,587,1,0
3081,1779452100,1.15997,1.16009,1.1596,1.15993,592,1,0
3082,1779453000,1.15993,1.16039,1.15982,1.16022,564,0,0
3083,1779453900,1.16023,1.1605699999999999,1.16022,1.16041,517,2,0
3084,1779454800,1.16042,1.16078,1.16027,1.16036,437,0,0
3085,1779455700,1.16036,1.16058,1.16001,1.16002,385,0,0
3086,1779456600,1.16002,1.16012,1.15972,1.15984,566,2,0
3087,1779457500,1.15984,1.15994,1.15951,1.15973,606,2,0
3088,1779458400,1.15973,1.15976,1.15933,1.15954,652,1,0
3089,1779459300,1.15954,1.1596899999999999,1.15936,1.15938,431,0,0
3090,1779460200,1.15939,1.15987,1.15933,1.1598,466,0,0
3091,1779461100,1.1598,1.16021,1.15955,1.15964,944,0,0
3092,1779462000,1.15964,1.16068,1.15944,1.16046,1426,0,0
3093,1779462900,1.16045,1.1607,1.15964,1.15984,1346,0,0
3094,1779463800,1.15984,1.1601,1.15977,1.16,666,1,0
3095,1779464700,1.16,1.16048,1.16,1.16043,629,1,0
3096,1779465600,1.16041,1.16183,1.16038,1.16128,1627,0,0
3097,1779466500,1.16128,1.1614,1.16076,1.1611,946,0,0
3098,1779467400,1.16111,1.16115,1.16024,1.16041,1469,0,0
3099,1779468300,1.16041,1.1605699999999999,1.15993,1.16036,965,1,0
3100,1779469200,1.16036,1.16038,1.15891,1.1589800000000001,1736,0,0
3101,1779470100,1.1589800000000001,1.15965,1.15881,1.15965,1066,0,0
3102,1779471000,1.15965,1.16018,1.15954,1.16008,1173,0,0
3103,1779471900,1.16007,1.16023,1.15947,1.15977,1078,1,0
3104,1779472800,1.15976,1.16048,1.15957,1.16034,1061,1,0
3105,1779473700,1.16034,1.16055,1.15993,1.16026,836,0,0
3106,1779474600,1.16026,1.16039,1.15981,1.16009,1008,0,0
3107,1779475500,1.16009,1.16044,1.15993,1.16027,737,1,0
3108,1779476400,1.16027,1.16077,1.15994,1.16068,882,0,0
3109,1779477300,1.16068,1.16092,1.16052,1.16092,733,0,0
3110,1779478200,1.16092,1.16106,1.16054,1.16067,601,2,0
3111,1779479100,1.16067,1.16111,1.16067,1.16111,545,1,0
3112,1779480000,1.16111,1.1615199999999999,1.1611,1.16135,669,2,0
